fold_id,test_month,top_fraction,top_n,positives,m0_recall,m1_recall,delta_recall
1,2017-07,0.05,194,108,0.09259259259259259,0.12962962962962962,0.037037037037037035
1,2017-07,0.1,388,108,0.1574074074074074,0.17592592592592593,0.018518518518518517
1,2017-07,0.2,775,108,0.2962962962962963,0.2777777777777778,-0.01851851851851849
2,2017-08,0.05,210,122,0.04918032786885246,0.07377049180327869,0.02459016393442623
2,2017-08,0.1,420,122,0.12295081967213115,0.11475409836065574,-0.008196721311475405
2,2017-08,0.2,839,122,0.22950819672131148,0.21311475409836064,-0.016393442622950838
3,2017-09,0.05,208,182,0.03296703296703297,0.027472527472527472,-0.005494505494505496
3,2017-09,0.1,415,182,0.12087912087912088,0.0989010989010989,-0.021978021978021983
3,2017-09,0.2,830,182,0.2692307692307692,0.24175824175824176,-0.027472527472527458
4,2017-10,0.05,224,187,0.0481283422459893,0.053475935828877004,0.005347593582887701
4,2017-10,0.1,448,187,0.11764705882352941,0.1443850267379679,0.0267379679144385
4,2017-10,0.2,896,187,0.25133689839572193,0.25133689839572193,0.0
5,2017-11,0.05,365,904,0.07190265486725664,0.06305309734513274,-0.008849557522123894
5,2017-11,0.1,729,904,0.13053097345132744,0.13827433628318583,0.007743362831858391
5,2017-11,0.2,1458,904,0.2665929203539823,0.26327433628318586,-0.0033185840707964376
6,2017-12,0.05,276,411,0.10948905109489052,0.1070559610705596,-0.002433090024330911
6,2017-12,0.1,552,411,0.17274939172749393,0.1897810218978102,0.01703163017031628
6,2017-12,0.2,1103,411,0.30900243309002434,0.32116788321167883,0.012165450121654486
7,2018-01,0.05,354,403,0.10421836228287841,0.1141439205955335,0.009925558312655083
7,2018-01,0.1,707,403,0.1513647642679901,0.18362282878411912,0.03225806451612903
7,2018-01,0.2,1414,403,0.28287841191067,0.2853598014888337,0.0024813895781637396
8,2018-02,0.05,328,926,0.06803455723542116,0.06695464362850972,-0.0010799136069114396
8,2018-02,0.1,656,926,0.12742980561555076,0.1285097192224622,0.0010799136069114534
8,2018-02,0.2,1311,926,0.24406047516198703,0.2473002159827214,0.0032397408207343603
9,2018-03,0.05,351,1328,0.07003012048192771,0.0677710843373494,-0.0022590361445783136
9,2018-03,0.1,701,1328,0.1355421686746988,0.1280120481927711,-0.0075301204819276935
9,2018-03,0.2,1401,1328,0.2447289156626506,0.23493975903614459,-0.009789156626506007
10,2018-04,0.05,340,306,0.12091503267973856,0.12418300653594772,0.0032679738562091526
10,2018-04,0.1,680,306,0.2222222222222222,0.22549019607843138,0.0032679738562091665
10,2018-04,0.2,1360,306,0.3627450980392157,0.3660130718954248,0.0032679738562091387
11,2018-05,0.05,338,443,0.0654627539503386,0.0654627539503386,0.0
11,2018-05,0.1,675,443,0.14446952595936793,0.14672686230248308,0.002257336343115146
11,2018-05,0.2,1350,443,0.23927765237020315,0.24153498871331827,0.0022573363431151183
12,2018-06,0.05,305,71,0.11267605633802817,0.11267605633802817,0.0
12,2018-06,0.1,610,71,0.18309859154929578,0.19718309859154928,0.014084507042253502
12,2018-06,0.2,1220,71,0.323943661971831,0.29577464788732394,-0.02816901408450706
13,2018-07,0.05,308,208,0.052884615384615384,0.0673076923076923,0.01442307692307692
13,2018-07,0.1,616,208,0.13942307692307693,0.15384615384615385,0.014423076923076927
13,2018-07,0.2,1232,208,0.2980769230769231,0.30288461538461536,0.004807692307692291
14,2018-08,0.05,318,393,0.03816793893129771,0.035623409669211195,-0.002544529262086516
14,2018-08,0.1,636,393,0.06361323155216285,0.07124681933842239,0.007633587786259541
14,2018-08,0.2,1271,393,0.11959287531806616,0.11959287531806616,0.0
