fold_id,test_month,delta_average_precision,delta_roc_auc,delta_brier_m1_minus_m0,delta_log_loss_m1_minus_m0
1,2017-07,0.0012873260748605606,-0.028428435076947256,-1.9499636299033507e-05,-0.0007708891820364383
2,2017-08,-0.001751310714566523,-0.011493732155872571,4.333655647732748e-05,0.0006924576143604866
3,2017-09,-0.0021626015554807726,-0.0009706775079758589,2.0373910063556377e-05,0.00014494827860811466
4,2017-10,0.0001253889693172694,-0.0076549973392887605,-1.0809058500399482e-05,-0.0002426348201751971
5,2017-11,-0.0046553939452259885,-0.020130438790560534,2.2154690747219763e-05,0.000659608955131008
6,2017-12,-0.0020662882311069525,-0.020747314397006722,-3.585214077901633e-05,-0.00047539942822183434
7,2018-01,0.0055349797581707855,0.010951095109510978,-5.940212387444549e-05,-0.000645565729428782
8,2018-02,-0.0021263628248549826,-0.0007990478189352501,-2.4792263474598952e-05,-0.00042428090562474097
9,2018-03,-0.0033546462653585296,-0.0025728464518869343,-7.59255034795403e-05,-0.0012760738822142903
10,2018-04,-0.00015506522309678694,-0.012374959225834536,-0.0001669815726713722,0.004349172331837764
11,2018-05,0.0018375231574243311,-0.007949539619367174,-0.00023589684313070347,0.015933523221907525
12,2018-06,-0.0009388041859187263,-0.018112325404710417,-8.908664657055268e-05,0.00023519198772137262
13,2018-07,0.0007828237901396293,0.004983494775231634,-0.0004087687157949896,-0.000877158885519036
14,2018-08,-0.0017028729241852156,-0.007192843543481209,0.00014595336170741824,0.0016472214052240253
