path,line,evidence_type,text
src/data/auditar_coorte_modelagem.py,167,to_csv,monthly.to_csv(
src/data/auditar_coorte_modelagem.py,363,to_csv,}).to_csv(
src/data/auditar_diagnostico_dados.py,888,to_csv,estimated_hour_counts.to_csv(
src/data/auditar_diagnostico_dados.py,949,to_csv,comparison.to_csv(
src/data/auditar_diagnostico_dados.py,1073,to_csv,delay_dist.to_csv(
src/data/auditar_diagnostico_dados.py,1634,to_csv,numeric_df.to_csv(
src/data/auditar_diagnostico_dados.py,1916,to_csv,quality_df.to_csv(
src/data/auditar_diagnostico_dados.py,1991,to_csv,fin.to_csv(
src/data/auditar_diagnostico_dados.py,2097,to_csv,fin_summary.to_csv(
src/data/auditar_diagnostico_dados.py,2182,to_csv,missing_global_df.to_csv(
src/data/auditar_diagnostico_dados.py,2265,to_csv,missing_by_target_df.to_csv(
src/data/auditar_diagnostico_dados.py,2363,to_csv,missing_month_df.to_csv(
src/data/auditar_diagnostico_dados.py,2499,to_csv,geo_zip.to_csv(
src/data/auditar_diagnostico_dados.py,2666,to_csv,geo_summary.to_csv(
src/data/auditar_diagnostico_dados.py,2849,to_csv,distance_profile.to_csv(
src/data/auditar_diagnostico_dados.py,2960,to_csv,biv_df.to_csv(
src/data/auditar_diagnostico_dados.py,3088,to_csv,customer_state_rates.to_csv(
src/data/auditar_diagnostico_dados.py,3146,to_csv,payment_type_rates.to_csv(
src/data/auditar_diagnostico_dados.py,3204,to_csv,category_rates.to_csv(
src/data/auditar_diagnostico_dados.py,3278,to_csv,seller_state_rates.to_csv(
src/data/auditar_diagnostico_dados.py,3313,to_csv,cat_summary.to_csv(
src/data/auditar_diagnostico_dados.py,3420,to_csv,monthly.to_csv(
src/data/auditar_diagnostico_dados.py,3451,to_csv,weekday.to_csv(
src/data/auditar_diagnostico_dados.py,3482,to_csv,hourly.to_csv(
src/data/auditar_diagnostico_dados.py,3607,to_csv,seller_stats.to_csv(
src/data/auditar_diagnostico_dados.py,3641,to_csv,seller_volume.to_csv(
src/data/auditar_diagnostico_dados.py,3769,to_csv,id_df.to_csv(
src/data/auditar_diagnostico_dados.py,4031,to_csv,treatment_df.to_csv(
src/data/auditar_olist_raw.py,203,to_csv,table_summary_df.to_csv(
src/data/auditar_olist_raw.py,251,to_csv,missing_df.to_csv(
src/data/auditar_olist_raw.py,352,to_csv,pd.DataFrame(key_results).to_csv(
src/data/auditar_olist_raw.py,440,to_csv,pd.DataFrame(relationship_results).to_csv(
src/data/auditar_olist_raw.py,493,to_csv,status_df.to_csv(
src/data/auditar_olist_raw.py,561,to_csv,delivery_summary.to_csv(
src/data/auditar_olist_raw.py,626,to_csv,pd.DataFrame(temporal_checks).to_csv(
src/data/dq_gate_01_structural.py,941,to_csv,scorecard.to_csv(
src/data/dq_gate_01_structural.py,959,to_csv,exceptions.to_csv(
src/data/dq_gate_01_structural.py,967,to_csv,).to_csv(
src/data/dq_gate_02_semantic.py,736,to_csv,bad.to_csv(
src/data/dq_gate_02_semantic.py,842,to_csv,out.to_csv(
src/data/dq_gate_02_semantic.py,1178,to_csv,.to_csv(
