connected_input,classification
actual_delivery_days,FORBIDDEN_FUTURE_OR_OUTCOME
any_interstate_route,REQUIRES_EXACT_T0_SOURCE_PROOF
customer_id_municipio,REQUIRES_EXACT_T0_SOURCE_PROOF
distance_freight_weighted_km,REQUIRES_EXACT_T0_SOURCE_PROOF
expected_freight_oot,OUTPUT_OR_GENERATED
freight_burden,REQUIRES_EXACT_T0_SOURCE_PROOF
late_delivery_calendar_day,FORBIDDEN_FUTURE_OR_OUTCOME
product_volume_sum_proxy_cm3,REQUIRES_EXACT_T0_SOURCE_PROOF
promised_delivery_days,FORBIDDEN_FUTURE_OR_OUTCOME
route_sellers_total,REQUIRES_EXACT_T0_SOURCE_PROOF
total_freight,M0_RELEASED
total_weight_g,REQUIRES_EXACT_T0_SOURCE_PROOF
truck_strike_2018,REQUIRES_EXACT_T0_SOURCE_PROOF
year_month,TECHNICAL_TIME_OR_ID
