path,score,basename,is_backup_or_snapshot,rank
src/shipping_friction/27a_block01_core_friction.py,189,27a_block01_core_friction.py,False,1
src/spatiotemporal_logistics/07_expected_freight_residual_scientific_audit.py,81,07_expected_freight_residual_scientific_audit.py,False,2
src/shipping_friction/27a_block04_cost_to_service.py,65,27a_block04_cost_to_service.py,False,3
src/spatiotemporal_logistics/11_nonlinear_freight_reliability_audit.py,48,11_nonlinear_freight_reliability_audit.py,False,4
src/spatiotemporal_logistics/23_scientific_evidence_freeze.py,46,23_scientific_evidence_freeze.py,False,5
src/shipping_friction/27a_block02_burden_decomposition.py,45,27a_block02_burden_decomposition.py,False,6
src/spatiotemporal_logistics/12_delivery_speed_corrected_nonlinear_audit.py,44,12_delivery_speed_corrected_nonlinear_audit.py,False,7
src/spatiotemporal_logistics/04_run_four_analyses.py,42,04_run_four_analyses.py,False,8
src/spatiotemporal_logistics/13_context_and_mechanism_audit.py,42,13_context_and_mechanism_audit.py,False,9
src/spatiotemporal_logistics/15_gnadmm_delivery_operator_jacobian_audit.py,32,15_gnadmm_delivery_operator_jacobian_audit.py,False,10
src/spatiotemporal_logistics/25_governance_reproducibility_audit.py,28,25_governance_reproducibility_audit.py,False,11
src/spatiotemporal_logistics/09_delivery_reliability_hierarchical_audit.py,25,09_delivery_reliability_hierarchical_audit.py,False,12
src/spatiotemporal_logistics/10_validate_scientific_06_09.py,21,10_validate_scientific_06_09.py,False,13
src/shipping_friction/27a_block03_service_performance.py,18,27a_block03_service_performance.py,False,14
src/spatiotemporal_logistics/08_delivery_speed_hierarchical_audit.py,17,08_delivery_speed_hierarchical_audit.py,False,15
src/spatiotemporal_logistics/05_integrated_validation_report.py,14,05_integrated_validation_report.py,False,16
src/spatiotemporal_logistics/14_integrated_scientific_freeze.py,6,14_integrated_scientific_freeze.py,False,17
src/spatiotemporal_logistics/06_cost_structure_scientific_audit.py,4,06_cost_structure_scientific_audit.py,False,18
src/spatiotemporal_logistics/22_gnadmm_scientific_freeze.py,4,22_gnadmm_scientific_freeze.py,False,19
src/spatiotemporal_logistics/25p_update_final_documentation.py,4,25p_update_final_documentation.py,False,20
src/spatiotemporal_logistics/26_project_closeout.py,4,26_project_closeout.py,False,21
src/spatiotemporal_logistics/backup_nonlinear_before_lowmem_20260831T032343Z/11_nonlinear_freight_reliability_audit.py,41,11_nonlinear_freight_reliability_audit.py,True,22
src/spatiotemporal_logistics/backup_nonlinear_before_lowmem_20260831T032343Z/12_delivery_speed_corrected_nonlinear_audit.py,38,12_delivery_speed_corrected_nonlinear_audit.py,True,23
src/spatiotemporal_logistics/backup_nonlinear_before_lowmem_20260831T032343Z/13_context_and_mechanism_audit.py,36,13_context_and_mechanism_audit.py,True,24
src/spatiotemporal_logistics/v2_before_v21_20260831T024209Z/04_run_four_analyses.py,25,04_run_four_analyses.py,True,25
src/spatiotemporal_logistics/backup_nonlinear_before_lowmem_20260831T032343Z/14_integrated_scientific_freeze.py,6,14_integrated_scientific_freeze.py,True,26
