path,line,container_size,matched_data_columns,all_strings
src/shipping_friction/27a_block01_core_friction.py,73,6,order_id|order_purchase_timestamp|year_month|total_price|total_freight|expected_freight_oot,order_id|order_purchase_timestamp|year_month|total_price|total_freight|expected_freight_oot
src/shipping_friction/27a_block01_core_friction.py,514,8,total_price|total_freight|expected_freight_oot|freight_burden,total_price|total_freight|expected_freight_oot|freight_burden|freight_to_price_ratio|freight_residual_abs|freight_log_ratio|freight_log_ratio_month_z
src/shipping_friction/27a_block01_core_friction.py,556,8,total_price|total_freight|freight_burden,total_price|total_freight|freight_burden|freight_to_price_ratio|freight_residual_abs|freight_expected_ratio|freight_log_ratio|freight_log_ratio_month_z
src/shipping_friction/27a_block01_core_friction.py,608,22,order_id|order_purchase_timestamp|year_month|total_price|total_freight|expected_freight_oot|freight_burden,order_id|order_purchase_timestamp|year_month|total_price|total_freight|expected_freight_oot|freight_burden|freight_to_price_ratio|log_freight_to_price_ratio|freight_residual_abs|freight_residual_relative|freight_expected_ratio|freight_log_ratio|freight_log_ratio_month_z|median_log_ratio|mad_log_ratio|scaled_mad|valid_price|valid_freight|valid_expected_freight|valid_year_month|robust_scale_usable
src/shipping_friction/27a_block01_core_friction.py,402,5,year_month,year_month|median_log_ratio|mad_log_ratio|scaled_mad|robust_scale_usable
src/shipping_friction/27a_block01_core_friction.py,442,2,freight_burden,freight_burden|freight_to_price_ratio
src/spatiotemporal_logistics/07_expected_freight_residual_scientific_audit.py,75,4,distance_freight_weighted_km|total_weight_g|product_volume_sum_proxy_cm3|total_price,distance_freight_weighted_km|total_weight_g|product_volume_sum_proxy_cm3|total_price
src/spatiotemporal_logistics/07_expected_freight_residual_scientific_audit.py,67,2,total_freight,total_freight|median
src/spatiotemporal_logistics/07_expected_freight_residual_scientific_audit.py,68,2,expected_freight_oot,expected_freight_oot|median
src/spatiotemporal_logistics/07_expected_freight_residual_scientific_audit.py,69,1,total_freight,total_freight
src/spatiotemporal_logistics/07_expected_freight_residual_scientific_audit.py,69,1,expected_freight_oot,expected_freight_oot
src/shipping_friction/27a_block04_cost_to_service.py,144,5,order_id|year_month|freight_burden,order_id|year_month|freight_burden|freight_log_ratio|freight_log_ratio_month_z
src/shipping_friction/27a_block04_cost_to_service.py,152,5,order_id|late_delivery_calendar_day,order_id|delivery_gap_days_continuous|delivery_gap_calendar_days|positive_tardiness_days|late_delivery_calendar_day
src/shipping_friction/27a_block04_cost_to_service.py,160,8,order_id|total_price|distance_freight_weighted_km|total_weight_g|product_volume_sum_proxy_cm3|route_sellers_total|any_interstate_route|promised_delivery_days,order_id|total_price|distance_freight_weighted_km|total_weight_g|product_volume_sum_proxy_cm3|route_sellers_total|any_interstate_route|promised_delivery_days
