candidate_input,classification
actual_delivery_days,FORBIDDEN_FUTURE_OR_OUTCOME
any_interstate_route,REQUIRES_PIT_SOURCE_PROOF
customer_gdp_per_capita,REQUIRES_PIT_SOURCE_PROOF
customer_id_municipio,REQUIRES_PIT_SOURCE_PROOF
customer_population,REQUIRES_PIT_SOURCE_PROOF
customer_state,REQUIRES_PIT_SOURCE_PROOF
distance_freight_weighted_km,REQUIRES_PIT_SOURCE_PROOF
expected_freight_oot,GENERATED_OR_UPSTREAM_PROOF_REQUIRED
freight_burden,DERIVED_M0_ELIGIBLE_NOT_NECESSARILY_MODEL_INPUT
freight_residual_OOT,FORBIDDEN_FUTURE_OR_OUTCOME
late_delivery_calendar_day,FORBIDDEN_FUTURE_OR_OUTCOME
order_id,REQUIRES_PIT_SOURCE_PROOF
order_purchase_timestamp,TIME_KEY_REQUIRES_SERVING_DEFINITION
product_volume_sum_proxy_cm3,REQUIRES_PIT_SOURCE_PROOF
promised_delivery_days,FORBIDDEN_FUTURE_OR_OUTCOME
route_sellers_total,REQUIRES_PIT_SOURCE_PROOF
seller_id,REQUIRES_PIT_SOURCE_PROOF
single_seller_order,REQUIRES_PIT_SOURCE_PROOF
total_freight,M0_RELEASED
total_price,M0_RELEASED
total_weight_g,REQUIRES_PIT_SOURCE_PROOF
truck_strike_2018,REQUIRES_PIT_SOURCE_PROOF
year_month,TIME_KEY_REQUIRES_SERVING_DEFINITION
