year_month,rows,historical_nonnull,reproduced_nonnull,membership_mismatch,null_pattern_mismatch,numeric_mismatch,max_abs_diff
2017-01,750,0,0,0,0,0,
2017-02,1653,0,0,0,0,0,
2017-03,2546,0,0,0,0,0,
2017-04,2303,2303,2303,0,0,0,2.842170943040401e-14
2017-05,3546,3546,3546,0,0,0,2.842170943040401e-14
2017-06,3135,3135,3135,0,0,0,1.4210854715202004e-14
2017-07,3872,3872,3872,0,0,0,2.842170943040401e-14
2017-08,4193,4193,4193,0,0,0,2.842170943040401e-14
2017-09,4150,4150,4150,0,0,0,2.842170943040401e-14
2017-10,4478,4478,4478,0,0,0,1.4210854715202004e-14
2017-11,7289,7289,7289,0,0,0,2.842170943040401e-14
2017-12,5513,5513,5513,0,0,0,2.842170943040401e-14
2018-01,7069,7069,7069,0,0,0,2.842170943040401e-14
2018-02,6555,6555,6555,0,0,0,1.4210854715202004e-14
2018-03,7003,7003,7003,0,0,0,5.684341886080802e-14
2018-04,6798,6798,6798,0,0,0,2.842170943040401e-14
2018-05,6749,6749,6749,0,0,0,2.842170943040401e-14
2018-06,6099,6099,6099,0,0,0,2.842170943040401e-14
2018-07,6159,6159,6159,0,0,0,5.684341886080802e-14
2018-08,6351,6351,6351,0,0,0,2.842170943040401e-14
