year_month,benchmark_population,rows
2017-01,M0_ONLY_FALLBACK,750
2017-02,M0_ONLY_FALLBACK,1653
2017-03,M0_ONLY_FALLBACK,2546
2017-04,PAIRED_M0_M1_ELIGIBLE,2303
2017-05,PAIRED_M0_M1_ELIGIBLE,3545
2017-06,PAIRED_M0_M1_ELIGIBLE,3135
2017-07,PAIRED_M0_M1_ELIGIBLE,3872
2017-08,PAIRED_M0_M1_ELIGIBLE,4193
2017-09,PAIRED_M0_M1_ELIGIBLE,4150
2017-10,PAIRED_M0_M1_ELIGIBLE,4478
2017-11,PAIRED_M0_M1_ELIGIBLE,7288
2017-12,PAIRED_M0_M1_ELIGIBLE,5513
2018-01,PAIRED_M0_M1_ELIGIBLE,7069
2018-02,PAIRED_M0_M1_ELIGIBLE,6555
2018-03,PAIRED_M0_M1_ELIGIBLE,7003
2018-04,PAIRED_M0_M1_ELIGIBLE,6798
2018-05,PAIRED_M0_M1_ELIGIBLE,6749
2018-06,PAIRED_M0_M1_ELIGIBLE,6096
2018-07,PAIRED_M0_M1_ELIGIBLE,6156
2018-08,PAIRED_M0_M1_ELIGIBLE,6351
,M0_ONLY_FALLBACK,267
