check_name,status,observed,expected
BRONZE_ROW_COUNT__customers,PASS,99441,99441
BRONZE_ROW_COUNT__geolocation,PASS,1000163,1000163
BRONZE_ROW_COUNT__order_items,PASS,112650,112650
BRONZE_ROW_COUNT__orders,PASS,99441,99441
BRONZE_ROW_COUNT__payments,PASS,103886,103886
BRONZE_ROW_COUNT__product_category_translation,PASS,71,71
BRONZE_ROW_COUNT__products,PASS,32951,32951
BRONZE_ROW_COUNT__reviews,PASS,99224,99224
BRONZE_ROW_COUNT__sellers,PASS,3095,3095
CAST_ITEMS_PRICE,PASS,0,0
CAST_ITEMS_SHIPPING_LIMIT,PASS,0,0
CAST_ORDERS_ESTIMATED_TIMESTAMP,PASS,0,0
CAST_ORDERS_PURCHASE_TIMESTAMP,PASS,0,0
CAST_PAYMENTS_VALUE,PASS,0,0
ITEM_TO_ORDER_ORPHANS,PASS,0,0
ITEM_TO_PRODUCT_ORPHANS,PASS,0,0
ITEM_TO_SELLER_ORPHANS,PASS,0,0
KEY_UNIQUENESS__customers__customer_id,PASS,0,0
KEY_UNIQUENESS__order_items__order_id_item_id,PASS,0,0
KEY_UNIQUENESS__orders__order_id,PASS,0,0
KEY_UNIQUENESS__payments__order_id_payment_sequential,PASS,0,0
KEY_UNIQUENESS__product_category_translation__product_category_name,PASS,0,0
KEY_UNIQUENESS__products__product_id,PASS,0,0
KEY_UNIQUENESS__sellers__seller_id,PASS,0,0
ORDER_TO_CUSTOMER_ORPHANS,PASS,0,0
PAYMENT_TO_ORDER_ORPHANS,PASS,0,0
REVIEW_TO_ORDER_ORPHANS,PASS,0,0
SILVER_ROW_COUNT__customers,PASS,99441,99441
SILVER_ROW_COUNT__geolocation,PASS,1000163,1000163
SILVER_ROW_COUNT__order_items,PASS,112650,112650
SILVER_ROW_COUNT__orders,PASS,99441,99441
SILVER_ROW_COUNT__payments,PASS,103886,103886
SILVER_ROW_COUNT__product_category_translation,PASS,71,71
SILVER_ROW_COUNT__products,PASS,32951,32951
SILVER_ROW_COUNT__reviews,PASS,99224,99224
SILVER_ROW_COUNT__sellers,PASS,3095,3095
