table_schema,table_name,ordinal_position,column_name,data_type
bronze,customers,1,customer_id,VARCHAR
bronze,customers,2,customer_unique_id,VARCHAR
bronze,customers,3,customer_zip_code_prefix,VARCHAR
bronze,customers,4,customer_city,VARCHAR
bronze,customers,5,customer_state,VARCHAR
bronze,customers,6,_source_file,VARCHAR
bronze,geolocation,1,geolocation_zip_code_prefix,VARCHAR
bronze,geolocation,2,geolocation_lat,VARCHAR
bronze,geolocation,3,geolocation_lng,VARCHAR
bronze,geolocation,4,geolocation_city,VARCHAR
bronze,geolocation,5,geolocation_state,VARCHAR
bronze,geolocation,6,_source_file,VARCHAR
bronze,order_items,1,order_id,VARCHAR
bronze,order_items,2,order_item_id,VARCHAR
bronze,order_items,3,product_id,VARCHAR
bronze,order_items,4,seller_id,VARCHAR
bronze,order_items,5,shipping_limit_date,VARCHAR
bronze,order_items,6,price,VARCHAR
bronze,order_items,7,freight_value,VARCHAR
bronze,order_items,8,_source_file,VARCHAR
bronze,orders,1,order_id,VARCHAR
bronze,orders,2,customer_id,VARCHAR
bronze,orders,3,order_status,VARCHAR
bronze,orders,4,order_purchase_timestamp,VARCHAR
bronze,orders,5,order_approved_at,VARCHAR
bronze,orders,6,order_delivered_carrier_date,VARCHAR
bronze,orders,7,order_delivered_customer_date,VARCHAR
bronze,orders,8,order_estimated_delivery_date,VARCHAR
bronze,orders,9,_source_file,VARCHAR
bronze,payments,1,order_id,VARCHAR
bronze,payments,2,payment_sequential,VARCHAR
bronze,payments,3,payment_type,VARCHAR
bronze,payments,4,payment_installments,VARCHAR
bronze,payments,5,payment_value,VARCHAR
bronze,payments,6,_source_file,VARCHAR
bronze,product_category_translation,1,product_category_name,VARCHAR
bronze,product_category_translation,2,product_category_name_english,VARCHAR
bronze,product_category_translation,3,_source_file,VARCHAR
bronze,products,1,product_id,VARCHAR
bronze,products,2,product_category_name,VARCHAR
bronze,products,3,product_name_lenght,VARCHAR
bronze,products,4,product_description_lenght,VARCHAR
bronze,products,5,product_photos_qty,VARCHAR
bronze,products,6,product_weight_g,VARCHAR
bronze,products,7,product_length_cm,VARCHAR
bronze,products,8,product_height_cm,VARCHAR
bronze,products,9,product_width_cm,VARCHAR
bronze,products,10,_source_file,VARCHAR
bronze,reviews,1,review_id,VARCHAR
bronze,reviews,2,order_id,VARCHAR
bronze,reviews,3,review_score,VARCHAR
bronze,reviews,4,review_comment_title,VARCHAR
bronze,reviews,5,review_comment_message,VARCHAR
bronze,reviews,6,review_creation_date,VARCHAR
bronze,reviews,7,review_answer_timestamp,VARCHAR
bronze,reviews,8,_source_file,VARCHAR
bronze,sellers,1,seller_id,VARCHAR
bronze,sellers,2,seller_zip_code_prefix,VARCHAR
bronze,sellers,3,seller_city,VARCHAR
bronze,sellers,4,seller_state,VARCHAR
bronze,sellers,5,_source_file,VARCHAR
silver,customers,1,customer_id,VARCHAR
silver,customers,2,customer_unique_id,VARCHAR
silver,customers,3,customer_zip_code_prefix,VARCHAR
silver,customers,4,customer_city,VARCHAR
silver,customers,5,customer_state,VARCHAR
silver,customers,6,_source_file,VARCHAR
silver,geolocation,1,geolocation_zip_code_prefix,VARCHAR
silver,geolocation,2,geolocation_lat,DOUBLE
silver,geolocation,3,geolocation_lng,DOUBLE
silver,geolocation,4,geolocation_city,VARCHAR
silver,geolocation,5,geolocation_state,VARCHAR
silver,geolocation,6,_source_file,VARCHAR
silver,order_items,1,order_id,VARCHAR
silver,order_items,2,order_item_id,BIGINT
silver,order_items,3,product_id,VARCHAR
silver,order_items,4,seller_id,VARCHAR
silver,order_items,5,shipping_limit_date,TIMESTAMP
silver,order_items,6,price,DOUBLE
silver,order_items,7,freight_value,DOUBLE
silver,order_items,8,_source_file,VARCHAR
silver,orders,1,order_id,VARCHAR
silver,orders,2,customer_id,VARCHAR
silver,orders,3,order_status,VARCHAR
silver,orders,4,order_purchase_timestamp,TIMESTAMP
silver,orders,5,order_approved_at,TIMESTAMP
silver,orders,6,order_delivered_carrier_date,TIMESTAMP
silver,orders,7,order_delivered_customer_date,TIMESTAMP
silver,orders,8,order_estimated_delivery_date,TIMESTAMP
silver,orders,9,_source_file,VARCHAR
silver,payments,1,order_id,VARCHAR
silver,payments,2,payment_sequential,BIGINT
silver,payments,3,payment_type,VARCHAR
silver,payments,4,payment_installments,BIGINT
silver,payments,5,payment_value,DOUBLE
silver,payments,6,_source_file,VARCHAR
silver,product_category_translation,1,product_category_name,VARCHAR
silver,product_category_translation,2,product_category_name_english,VARCHAR
silver,product_category_translation,3,_source_file,VARCHAR
silver,products,1,product_id,VARCHAR
silver,products,2,product_category_name,VARCHAR
silver,products,3,product_name_lenght,BIGINT
silver,products,4,product_description_lenght,BIGINT
silver,products,5,product_photos_qty,BIGINT
silver,products,6,product_weight_g,DOUBLE
silver,products,7,product_length_cm,DOUBLE
silver,products,8,product_height_cm,DOUBLE
silver,products,9,product_width_cm,DOUBLE
silver,products,10,_source_file,VARCHAR
silver,reviews,1,review_id,VARCHAR
silver,reviews,2,order_id,VARCHAR
silver,reviews,3,review_score,BIGINT
silver,reviews,4,review_comment_title,VARCHAR
silver,reviews,5,review_comment_message,VARCHAR
silver,reviews,6,review_creation_date,TIMESTAMP
silver,reviews,7,review_answer_timestamp,TIMESTAMP
silver,reviews,8,_source_file,VARCHAR
silver,sellers,1,seller_id,VARCHAR
silver,sellers,2,seller_zip_code_prefix,VARCHAR
silver,sellers,3,seller_city,VARCHAR
silver,sellers,4,seller_state,VARCHAR
silver,sellers,5,_source_file,VARCHAR
