table_schema,table_name,ordinal_position,column_name,data_type
gold,delivery_service_outcomes,1,order_id,VARCHAR
gold,delivery_service_outcomes,2,order_status,VARCHAR
gold,delivery_service_outcomes,3,order_delivered_customer_date,TIMESTAMP
gold,delivery_service_outcomes,4,order_estimated_delivery_date,TIMESTAMP
gold,delivery_service_outcomes,5,target_observed,BOOLEAN
gold,delivery_service_outcomes,6,late_delivery_calendar_day,BOOLEAN
gold,ml_delivery_features_core,1,order_id,VARCHAR
gold,ml_delivery_features_core,2,prediction_time,TIMESTAMP
gold,ml_delivery_features_core,3,has_order_items,BOOLEAN
gold,ml_delivery_features_core,4,item_count,BIGINT
gold,ml_delivery_features_core,5,unique_product_count,BIGINT
gold,ml_delivery_features_core,6,unique_seller_count,BIGINT
gold,ml_delivery_features_core,7,total_price,DOUBLE
gold,ml_delivery_features_core,8,mean_price,DOUBLE
gold,ml_delivery_features_core,9,max_price,DOUBLE
gold,ml_delivery_features_core,10,min_price,DOUBLE
gold,ml_delivery_features_core,11,price_range,DOUBLE
gold,ml_delivery_features_core,12,total_freight,DOUBLE
gold,ml_delivery_features_core,13,mean_freight,DOUBLE
gold,ml_delivery_features_core,14,max_freight,DOUBLE
gold,ml_delivery_features_core,15,merchandise_plus_freight,DOUBLE
gold,ml_delivery_features_core,16,freight_price_ratio,DOUBLE
gold,ml_delivery_supervised_core_v1,1,order_id,VARCHAR
gold,ml_delivery_supervised_core_v1,2,prediction_time,TIMESTAMP
gold,ml_delivery_supervised_core_v1,3,has_order_items,BOOLEAN
gold,ml_delivery_supervised_core_v1,4,item_count,BIGINT
gold,ml_delivery_supervised_core_v1,5,unique_product_count,BIGINT
gold,ml_delivery_supervised_core_v1,6,unique_seller_count,BIGINT
gold,ml_delivery_supervised_core_v1,7,total_price,DOUBLE
gold,ml_delivery_supervised_core_v1,8,mean_price,DOUBLE
gold,ml_delivery_supervised_core_v1,9,max_price,DOUBLE
gold,ml_delivery_supervised_core_v1,10,min_price,DOUBLE
gold,ml_delivery_supervised_core_v1,11,price_range,DOUBLE
gold,ml_delivery_supervised_core_v1,12,total_freight,DOUBLE
gold,ml_delivery_supervised_core_v1,13,mean_freight,DOUBLE
gold,ml_delivery_supervised_core_v1,14,max_freight,DOUBLE
gold,ml_delivery_supervised_core_v1,15,merchandise_plus_freight,DOUBLE
gold,ml_delivery_supervised_core_v1,16,freight_price_ratio,DOUBLE
gold,ml_delivery_supervised_core_v1,17,late_delivery_calendar_day,BOOLEAN
