variable,decile,n,x_median,burden_mean,burden_median,price_median,freight_median
distance_freight_weighted_km,0,9572,16.5891699291576,0.17023252057750518,0.1470749043193001,62.8,9.34
distance_freight_weighted_km,1,9572,73.23557051402494,0.16887754651103445,0.1465917683914875,71.0,11.73
distance_freight_weighted_km,2,9572,185.70963719995586,0.18408107063122814,0.1595398181776126,89.8,14.38
distance_freight_weighted_km,3,9571,317.42529554535577,0.2005234870020234,0.1765028822399121,89.9,15.56
distance_freight_weighted_km,4,9572,380.7572734464651,0.20783532877548963,0.1832560676302154,89.9,16.88
distance_freight_weighted_km,5,9572,482.96415811744487,0.2139341901021104,0.1903165126359695,85.9,17.19
distance_freight_weighted_km,6,9571,594.1017852492124,0.2173110705903568,0.1963436928702011,89.5,18.23
distance_freight_weighted_km,7,9572,797.3416487328273,0.22603424496163363,0.201942264201144,89.0,18.26
distance_freight_weighted_km,8,9572,1059.9798447809535,0.22989728208489218,0.2062459352547203,97.555,20.69
distance_freight_weighted_km,9,9572,2094.9826957136197,0.2705017850850544,0.24670351657898681,101.0,29.39
total_weight_g,0,9948,150.0,0.3030763348324196,0.28845230978103586,29.99,15.1
total_weight_g,1,10425,200.0,0.26310068108609136,0.2371705963938974,44.4,14.8
total_weight_g,2,8555,300.0,0.22735003134590714,0.2059835848557056,56.99,15.14
total_weight_g,3,9658,434.0,0.19606406017937916,0.16836282335254865,78.0,15.684999999999999
total_weight_g,4,9888,600.0,0.19410528740494695,0.17906150528376918,79.9,16.18
total_weight_g,5,9048,902.0,0.1905057509554917,0.1742141715503463,79.9,16.81
total_weight_g,6,9944,1383.0,0.18388217119131214,0.1658934867322323,89.99,17.76
total_weight_g,7,9280,2100.0,0.17105982532919148,0.1547361619757549,113.0,20.02
total_weight_g,8,9421,4338.0,0.16840969310411363,0.1489751098096632,143.8,25.1
total_weight_g,9,9551,10550.0,0.1838265212184595,0.1672125011696453,189.0,37.42
product_volume_sum_proxy_cm3,0,9679,816.0,0.2720389701402141,0.2512897320685638,39.0,14.92
product_volume_sum_proxy_cm3,1,9670,2040.0,0.23607944974962713,0.21787186371286454,49.95,15.16
product_volume_sum_proxy_cm3,2,9398,2964.0,0.2109784723305195,0.1790957134468584,68.0,15.37
product_volume_sum_proxy_cm3,3,9543,4096.0,0.22298152849396127,0.1947104423164615,59.99,15.31
product_volume_sum_proxy_cm3,4,9569,5780.0,0.20550607433492254,0.1789531378459851,79.99,16.68
product_volume_sum_proxy_cm3,5,9582,8192.0,0.2065010738599939,0.18375401042676615,89.9,17.63
product_volume_sum_proxy_cm3,6,9561,13200.0,0.18449626690659138,0.1617939851199832,97.5,17.95
product_volume_sum_proxy_cm3,7,9587,19872.0,0.1836342658855065,0.1658934867322323,96.0,18.38
product_volume_sum_proxy_cm3,8,9558,32560.0,0.1794862392553177,0.1638916750250752,115.0,20.26
product_volume_sum_proxy_cm3,9,9571,64000.0,0.18659020313092764,0.1673259081919433,171.8,36.04
