cost_anomaly_decile,n,cost_anomaly_median,freight_log_ratio_median,freight_burden_median,delivery_gap_mean,delivery_gap_median,late_rate
0,9127,-1.8542423961169965,-0.2823346557721649,0.1266070430408049,-10.407709605390785,-10.611261574074074,0.0690259669113619
1,9126,-1.0247885784652127,-0.1462415637079609,0.1547049441786283,-9.864568402727038,-10.113078703703703,0.06399298706991015
2,9126,-0.6593697098611842,-0.08862434094969851,0.1604883141605069,-9.902295021195037,-10.160353009259259,0.06059609905763752
3,9126,-0.3823806085671282,-0.0482996204936118,0.1626204840510136,-10.067337825991673,-10.37980324074074,0.06607495069033531
4,9133,-0.1233843922641518,-0.0116283326282016,0.180352798053528,-10.769106731670075,-11.297152777777779,0.06394393955983795
5,9119,0.1217552912648351,0.0213449934940922,0.1910733549083063,-11.002623568917405,-12.080972222222222,0.07500822458602917
6,9126,0.383563146001928,0.0611098626007833,0.19957414697663511,-11.35257039954338,-12.26909722222222,0.06651325882095113
7,9126,0.6922770526443675,0.1221012136026157,0.2124478435952989,-11.55421697869102,-12.317488425925928,0.07100591715976332
8,9126,1.1885912287257323,0.228801225645278,0.21071953010279,-11.498018522323694,-12.299733796296296,0.07659434582511505
9,9127,2.6211322460599606,0.4610828509844619,0.2517325341824311,-11.827754649919449,-12.453657407407407,0.08239290018626054
