var_name,decile,var_median,freight_median,freight_median_ci_lower,freight_median_ci_upper,freight_burden_median
distance_freight_weighted_km,0,16.5908512538471,9.34,9.26,9.34,0.1470754354508877
distance_freight_weighted_km,1,73.25700282370414,11.73,11.56,11.73,0.14659176839148755
distance_freight_weighted_km,2,185.71811229187847,14.38,14.23,14.49525,0.15965679676985195
distance_freight_weighted_km,3,317.42903618232106,15.56,15.46,15.72,0.17650779629360447
distance_freight_weighted_km,4,380.78157705727,16.88,16.74,17.02,0.18325606763021546
distance_freight_weighted_km,5,482.9768773526235,17.19,16.96475,17.51525,0.19031651263596958
distance_freight_weighted_km,6,594.2287608167103,18.23,18.23,18.23,0.19634369287020112
distance_freight_weighted_km,7,797.386620208948,18.26,18.23,18.31,0.20194226420114406
distance_freight_weighted_km,8,1059.966799635735,20.69,20.3395,20.91,0.20625228965685677
distance_freight_weighted_km,9,2094.9826957136197,29.39,29.03475,29.8,0.24670351657898684
total_weight_g,0,150.0,15.1,15.1,15.1,0.2883581145207213
total_weight_g,1,200.0,14.82,14.52,15.1,0.237339841366687
total_weight_g,2,300.0,15.14,15.1,15.23,0.20598358485570561
total_weight_g,3,434.0,15.69,15.61,15.78,0.1683645119466568
total_weight_g,4,600.0,16.18,16.15,16.25,0.17899929527836506
total_weight_g,5,902.0,16.81,16.68,16.932625,0.1742141715503463
total_weight_g,6,1383.0,17.76,17.67,17.84,0.1658934867322323
total_weight_g,7,2100.0,20.045,19.88475,20.26,0.15474283562398516
total_weight_g,8,4338.0,25.19,24.73425,25.54,0.14970368461736663
total_weight_g,9,10550.0,37.41,36.946875,37.95525,0.16732590819194335
product_volume_sum_proxy_cm3,0,816.0,15.004999999999999,14.57,15.1,0.2512897320685638
product_volume_sum_proxy_cm3,1,2040.0,15.17,15.1,15.23,0.21792468904413018
product_volume_sum_proxy_cm3,2,2964.0,15.38,15.3,15.48,0.1793500617030029
product_volume_sum_proxy_cm3,3,4096.0,15.33,15.232375,15.4,0.1928899652260308
product_volume_sum_proxy_cm3,4,5780.0,16.68,16.574749999999998,16.79,0.17899543378995436
product_volume_sum_proxy_cm3,5,8192.0,17.65,17.6,17.8,0.18401486988847585
product_volume_sum_proxy_cm3,6,13125.0,17.965,17.92,18.05,0.16125484865770978
product_volume_sum_proxy_cm3,7,19864.0,18.38,18.23475,18.59,0.16597048175995546
product_volume_sum_proxy_cm3,8,32400.0,20.26,20.05,20.822625,0.16411042944785273
product_volume_sum_proxy_cm3,9,64000.0,36.02,35.56,36.76,0.16721250116964537
total_price,0,19.0,14.1,14.1,14.11,0.42246360064709965
total_price,1,30.0,15.1,15.1,15.1,0.3150147203140334
total_price,2,45.95,15.1,15.1,15.1,0.2512479201331115
total_price,3,59.55,16.14,16.12,16.16,0.21483811770874298
total_price,4,76.05,16.35,16.31,16.54525,0.17909571344685848
total_price,5,98.0,17.87,17.7,17.88,0.15407031396879114
total_price,6,119.9,18.65,18.46475,18.72,0.1352987421383648
total_price,7,149.9,19.95,19.47,20.18,0.11716791979949874
total_price,8,204.0,21.96,21.77,22.180500000000002,0.09523809523809523
total_price,9,399.0,28.64,28.119,29.19625,0.06041797164170604
customer_population,0,14958.5,18.59,18.44,18.77,0.20221133021771345
customer_population,1,47159.0,18.305,18.23,18.415,0.19618770886060605
customer_population,2,106776.0,17.86,17.74,17.95,0.1866960487879875
customer_population,3,216654.0,16.88,16.79,17.087625,0.18064163324826832
customer_population,4,363173.0,16.2,16.11,16.422874999999998,0.17666431427899318
customer_population,5,658580.0,17.6,17.33475,17.67,0.18471908458867847
customer_population,6,1365899.0,17.67,17.63,17.8,0.18746539875164958
customer_population,7,2974703.0,17.94,17.88,18.04,0.19702323589249385
customer_population,8,12106920.0,15.27,15.23,15.38,0.16908037653874006
customer_population,9,12176866.0,13.37,13.18,13.47,0.1558144848069454
customer_gdp_per_capita,0,14271.52,21.12,20.8,21.4105,0.21276931576039776
customer_gdp_per_capita,1,21267.43,19.275,19.047375000000002,19.46,0.20132220098034387
customer_gdp_per_capita,2,27051.72,18.7,18.52,18.91,0.19588918677390527
customer_gdp_per_capita,3,34454.22,17.74,17.63,17.86,0.18760319581291357
customer_gdp_per_capita,4,40231.87,16.82,16.71,17.022624999999998,0.1824604687675227
customer_gdp_per_capita,5,46192.5,16.42,16.28,16.6,0.1773609740046068
customer_gdp_per_capita,6,51915.03,17.02,16.89,17.12,0.18275937227550132
customer_gdp_per_capita,7,57731.63,14.1,14.07,14.11,0.16244696337131886
customer_gdp_per_capita,8,58691.9,13.37,13.19,13.48,0.15538907684871917
customer_gdp_per_capita,9,80515.47,16.59,16.397375,16.73,0.1778194500337509
