pred_decile,median_observed,median_predicted,calibration_ratio
0,8.11,8.929372757051743,0.9651173067575565
1,11.97,12.10585731336008,1.0127992840880222
2,14.34,14.031146874670554,1.0515370204013392
3,15.23,14.959187592539768,1.052746025669008
4,16.36,15.895659276494065,1.0631191744364374
5,17.67,17.17725867475354,1.0735564279546888
6,19.07,19.087710325785643,1.089168525765111
7,23.46,22.946666152942463,1.1094760322659272
8,30.32,29.045369423239794,1.1317664600955917
9,50.71,43.91900829917897,1.1837950376890438
