gn_iteration,objective,alpha,step_norm,admm_iterations,r_pri_final,r_dual_final,beta_z2,constraint_violation
1,0.03189559999123911,0.5,0.39201515997981706,2765,5.457247709284019e-09,0.0,0.04999999727137615,0.0
2,0.03181386072439467,0.5,0.14865072156674547,868,1.8574780255575796e-09,0.0,0.02499999770694906,0.0
3,0.031793199030078226,0.5,0.06974500055135308,405,3.129457955622361e-08,0.0,0.012499983206184753,0.0
4,0.031787239898955474,0.5,0.03659939971386052,198,5.288216618076769e-09,0.0,0.006249988958984067,0.0
5,0.03178533238404197,0.5,0.020672646757278645,98,3.649115300468492e-08,0.0,0.0031249762339155313,0.0
6,0.03178466012829363,0.5,0.012371913251729103,50,1.9857078643707726e-08,0.0,0.0015624781884184438,0.0
7,0.03178440213731762,0.5,0.007748045700392208,26,2.7098803608623795e-08,0.0,0.0007812255448074176,0.0
8,0.03178429615775429,0.5,0.005014347565954569,14,3.5416784136183856e-08,0.0,0.0003905950640116407,0.0
9,0.03178425042838907,0.5,0.003316318462916176,8,4.0954506464515456e-08,0.0,0.0001952770547525881,0.0
10,0.03178423003229504,0.5,0.002222521570332254,5,4.4124749806338966e-08,0.0,9.761646500139088e-05,0.0
11,0.03178422073834878,0.5,0.0015007703477552784,4,2.2063294236667158e-08,0.0,4.8797200853577104e-05,0.0
12,0.031784216443218646,0.5,0.0010174736770817842,3,3.482731266049008e-08,0.0,2.4381186770458307e-05,0.0
13,0.03178421444053074,0.5,0.0006911293662494926,3,1.742349847092442e-08,0.0,1.2181881635993691e-05,0.0
14,0.03178421350068255,0.5,0.00046978417225968194,3,8.724139375423657e-09,0.0,6.086578748309134e-06,0.0
15,0.03178421305747703,0.5,0.00031933561822911717,3,4.37647070299065e-09,0.0,3.0411011388030716e-06,0.0
16,0.03178421284765899,0.5,0.00021699456942643241,3,2.203856414527937e-09,0.0,1.5194486411942718e-06,0.0
17,0.03178421274799793,0.5,0.0001473749372540797,3,1.1182227474406216e-09,0.0,7.591652092234156e-07,0.0
18,0.03178421270051872,0.5,0.00010003156995389237,3,5.757617068911323e-10,0.0,3.7929472375826224e-07,0.0
19,0.0317842126778368,0.5,6.785469115116239e-05,3,3.047148947747648e-10,0.0,1.8949500443174374e-07,0.0
20,0.03178421266697285,0.5,4.599987419310647e-05,3,1.6928514432425768e-10,0.0,9.466285964370974e-08,0.0
21,0.03178421266175639,0.5,3.116588454349021e-05,3,1.0161766613489692e-10,0.0,4.728062098878742e-08,0.0
22,0.03178421265887284,0.25,1.054991617870381e-05,2,9.489035245980874e-08,0.0,1.1737877626638382e-08,0.0
23,0.031784212658092566,0.125,4.422808371425197e-06,2,5.939847720635606e-08,0.0,2.8458332725140763e-09,0.0
24,0.03178421265794064,0.03125,1.016343622881653e-06,2,5.0519173330336586e-08,0.0,1.178176816174993e-09,0.0
25,0.03178421265786886,0.015625,4.979024619525243e-07,2,4.885390774669888e-08,0.0,3.9642549488008883e-10,0.0
26,0.031784212657833974,0.0078125,2.4643565499387097e-07,2,4.807327736666124e-08,0.0,1.7755941274297177e-11,0.0
27,0.03178421265782536,0.001953125,6.129763683476143e-08,2,4.769515082217152e-08,0.0,-7.543332974805792e-11,7.543332974805792e-11
28,0.03178421265782322,0.00048828125,1.5305049168977034e-08,2,4.7677420748812296e-08,0.0,-9.867648766752289e-11,9.867648766752289e-11
29,0.03178421265782315,1.52587890625e-05,4.781317208634238e-10,2,4.767742087378504e-08,0.0,-9.940248169196926e-11,9.940248169196926e-11
