admm_iteration,r_pri,r_dual,eps_pri,eps_dual,gn_iteration
1,0.0,6.79315914085979e-05,1.0067931591408597e-07,2.8284271247461903e-07,1
25,0.0,6.709506288196014e-05,1.1687812484281496e-07,2.8284271247461903e-07,1
50,0.0,6.62346311360233e-05,1.3353980344051358e-07,2.8284271247461903e-07,1
75,0.0,6.538523362655067e-05,1.4998781151477465e-07,2.8284271247461903e-07,1
100,0.0,6.454672884972663e-05,1.6622488919122946e-07,2.8284271247461903e-07,1
125,0.0,6.371897711639381e-05,1.8225374145594825e-07,2.8284271247461903e-07,1
150,0.0,6.290184052877394e-05,1.980770386060717e-07,2.8284271247461903e-07,1
175,0.0,6.209518295750144e-05,2.1369741669466438e-07,2.8284271247461903e-07,1
200,0.0,6.12988700189384e-05,2.2911747796986353e-07,2.8284271247461903e-07,1
225,0.0,6.051276905280449e-05,2.443397913083951e-07,2.8284271247461903e-07,1
250,0.0,5.973674910005056e-05,2.59366892643532e-07,2.8284271247461903e-07,1
275,0.0,5.897068088106874e-05,2.74201285387562e-07,2.8284271247461903e-07,1
300,0.0,5.821443677411775e-05,2.888454408488414e-07,2.8284271247461903e-07,1
325,0.0,5.746789079412104e-05,3.0330179864349515e-07,2.8284271247461903e-07,1
350,0.0,5.67309185716125e-05,3.175727671018421e-07,2.8284271247461903e-07,1
375,0.0,5.600339733207241e-05,3.316607236696061e-07,2.8284271247461903e-07,1
400,0.0,5.5285205875426485e-05,3.455680153039814e-07,2.8284271247461903e-07,1
425,0.0,5.4576224555902275e-05,3.592969588646201e-07,2.8284271247461903e-07,1
450,0.0,5.38763352620486e-05,3.7284984149960567e-07,2.8284271247461903e-07,1
475,0.0,5.318542139710891e-05,3.8622892102647575e-07,2.8284271247461903e-07,1
500,0.0,5.250336785955073e-05,3.994364263083589e-07,2.8284271247461903e-07,1
525,0.0,5.183006102393167e-05,4.12474557625288e-07,2.8284271247461903e-07,1
550,0.0,5.1165388721935434e-05,4.253454870407535e-07,2.8284271247461903e-07,1
575,0.0,5.05092402236923e-05,4.3805135876355e-07,2.8284271247461903e-07,1
600,0.0,4.9861506219363305e-05,4.5059428950499105e-07,2.8284271247461903e-07,1
625,0.0,4.922207880087709e-05,4.629763688315372e-07,2.8284271247461903e-07,1
650,0.0,4.859085144401365e-05,4.7519965951290365e-07,2.8284271247461903e-07,1
675,0.0,4.796771899061303e-05,4.872661978657037e-07,2.8284271247461903e-07,1
700,0.0,4.735257763107542e-05,4.991779940926851e-07,2.8284271247461903e-07,1
725,0.0,4.674532488705557e-05,5.109370326176151e-07,2.8284271247461903e-07,1
750,0.0,4.614585959438616e-05,5.225452724158733e-07,2.8284271247461903e-07,1
775,0.0,4.55540818862718e-05,5.340046473408036e-07,2.8284271247461903e-07,1
800,0.0,4.49698931765663e-05,5.453170664458796e-07,2.8284271247461903e-07,1
825,0.0,4.4393196143459324e-05,5.564844143027409e-07,2.8284271247461903e-07,1
850,0.0,4.38238947131353e-05,5.675085513151486e-07,2.8284271247461903e-07,1
875,0.0,4.326189404390418e-05,5.783913140289179e-07,2.8284271247461903e-07,1
900,0.0,4.270710051029747e-05,5.891345154378728e-07,2.8284271247461903e-07,1
925,0.0,4.215942168748349e-05,5.997399452858774e-07,2.8284271247461903e-07,1
950,0.0,4.1618766335918544e-05,6.102093703649987e-07,2.8284271247461903e-07,1
975,0.0,4.108504438612992e-05,6.205445348098363e-07,2.8284271247461903e-07,1
1000,0.0,4.055816692370706e-05,6.307471603880892e-07,2.8284271247461903e-07,1
1025,0.0,4.003804617443846e-05,6.408189467873871e-07,2.8284271247461903e-07,1
1050,0.0,3.952459548978854e-05,6.507615718984465e-07,2.8284271247461903e-07,1
1075,0.0,3.9017729332367634e-05,6.605766920945979e-07,2.8284271247461903e-07,1
1100,0.0,3.851736326174193e-05,6.702659425077255e-07,2.8284271247461903e-07,1
1125,0.0,3.802341392037528e-05,6.798309373006673e-07,2.8284271247461903e-07,1
1150,0.0,3.753579901965426e-05,6.892732699361262e-07,2.8284271247461903e-07,1
1175,0.0,3.705443732627406e-05,6.985945134421276e-07,2.8284271247461903e-07,1
1200,0.0,3.6579248648693774e-05,7.077962206740775e-07,2.8284271247461903e-07,1
1225,0.0,3.611015382372351e-05,7.168799245734555e-07,2.8284271247461903e-07,1
1250,0.0,3.564707470332662e-05,7.258471384231934e-07,2.8284271247461903e-07,1
