test_month,model,n_train,n_test,average_precision,brier,log_loss,roc_auc,beta_z2,admm_iterations
2017-07,LOGIT_MLE,8923,3851,0.0380198666850392,0.027336040330354253,0.13108029866356377,0.46367770988098084,1.1200743912700293,0
2017-07,GN_FREE_BRIER,8923,3851,0.039243938225080044,0.027391537984782433,0.13186867563834373,0.45520059509545496,1.0377088998752517,0
2017-07,GNADMM_GE0,8923,3851,0.03924840736320176,0.027390763257365225,0.13186179946175028,0.45530793194344593,1.1200634184889002,80
2017-07,GN_EQ0,8923,3851,0.03455137651041413,0.027401186802574105,0.13195547492212795,0.4540099049444844,0.0,0
2017-07,GNADMM_LE0,8923,3851,0.03455137651041413,0.027401186802579046,0.13195547492217613,0.4540099049444844,0.0,58
2017-08,LOGIT_MLE,12774,4168,0.036960000819918765,0.030597940495924125,0.1755802788661972,0.5450634793245481,3.844056682056821,0
2017-08,GN_FREE_BRIER,12774,4168,0.03752638253008439,0.030601174961480838,0.17571313500263214,0.5317406833344566,1.6710443410456168,0
2017-08,GNADMM_GE0,12774,4168,0.037432367682768114,0.030600632365874805,0.17487065008833885,0.5313200064531016,1.3063357400066957,240000
2017-08,GN_EQ0,12774,4168,0.04568980928802821,0.028201263905746555,0.13153564460690403,0.5327331540351286,0.0,0
2017-08,GNADMM_LE0,12774,4168,0.04568980928802821,0.028201263890336687,0.13153564444946955,0.5327331540351286,0.0,66
2017-09,LOGIT_MLE,16942,4125,0.06202301307259617,0.04209125592407652,0.17964024489676436,0.6113658089311146,0.08717805837155326,0
2017-09,GN_FREE_BRIER,16942,4125,0.060822246598437116,0.04211114780499334,0.17974162576147665,0.6114313026562582,1.7710287628333883,0
2017-09,GNADMM_GE0,16942,4125,0.06079089253336312,0.042107229960356644,0.17972729106302007,0.6104238140758557,1.38091394430432,215978
2017-09,GN_EQ0,16942,4125,0.060315988444406166,0.04209732186191629,0.17970354278095477,0.6053571080200548,0.0,0
2017-09,GNADMM_LE0,16942,4125,0.060315988444406166,0.04209732186106137,0.17970354275158565,0.6053571080200548,0.0,66
2017-10,LOGIT_MLE,21067,4450,0.06323273870693563,0.03966122898479816,0.17063902097558517,0.611601660276924,0.05077406492975984,0
2017-10,GN_FREE_BRIER,21067,4450,0.06953278548413065,0.039594181149137396,0.17068372057600653,0.6115864516333449,1.0485164381730805,0
2017-10,GNADMM_GE0,21067,4450,0.06937846367049452,0.03959535863467142,0.17069075082475565,0.6113912740407466,1.2086178666351628,240000
2017-10,GN_EQ0,21067,4450,0.07004384387607179,0.0395881182605969,0.17066389594097697,0.6123861728082126,0.0,0
2017-10,GNADMM_LE0,21067,4450,0.06990633146941103,0.03958889706347063,0.17064678886232593,0.6124875637654067,0.0,93
2017-11,LOGIT_MLE,25517,7253,0.17105091901863212,0.11547585297208236,0.4312077853024382,0.6114296297770381,0.041259031368629094,0
2017-11,GN_FREE_BRIER,25517,7253,0.1855749581981298,0.11503563476609291,0.4306888826076181,0.6207113009421844,-0.06858888207308048,0
2017-11,GNADMM_GE0,25517,7253,0.18509017744865963,0.11504531596357982,0.4306618036328165,0.6202476625187088,0.9383588517490921,240000
2017-11,GN_EQ0,25517,7253,0.185567159765624,0.11503606952469324,0.4306860458560622,0.6206879095458194,0.0,0
2017-11,GNADMM_LE0,25517,7253,0.1855976313014598,0.11503578722268053,0.4306895555153023,0.6206999543693208,-0.043915719170571674,140987
2017-12,LOGIT_MLE,32770,5483,0.1254137129560179,0.06922215300930522,0.26901746916351527,0.6602810779484207,-0.09129264648420315,0
2017-12,GN_FREE_BRIER,32770,5483,0.11327116715529462,0.0695338500728227,0.274269243831332,0.6418849608809041,-0.8177499574352379,0
2017-12,GNADMM_GE0,32770,5483,0.11300539008744061,0.0695270112973109,0.274165203220335,0.6415633149811649,0.0,163106
2017-12,GN_EQ0,32770,5483,0.11300539008744061,0.06952701127874301,0.2741652028771412,0.6415633149811649,0.0,0
2017-12,GNADMM_LE0,32770,5483,0.11314069643060394,0.06952937596543829,0.27420131406182546,0.6416748768472906,-0.31082888348134446,240000
2018-01,LOGIT_MLE,38253,7036,0.09715583264730386,0.052857263398228126,0.2117727234446044,0.6426526614864719,-0.14651676787000426,0
2018-01,GN_FREE_BRIER,38253,7036,0.09281286702257469,0.05288592352594652,0.2121491237056079,0.6368954630058649,-0.8136523367305007,0
2018-01,GNADMM_GE0,38253,7036,0.09292315803533995,0.05288315337087611,0.212112092958289,0.6371122170349784,0.0,44
2018-01,GN_EQ0,38253,7036,0.09292315803533995,0.052883153370868886,0.21211209295822636,0.6371122170349784,0.0,0
2018-01,GNADMM_LE0,38253,7036,0.09297375001489452,0.05288431875111372,0.21212881717143475,0.6370193224510727,-0.4094395869553699,240000
2018-02,LOGIT_MLE,45289,6516,0.23861889993157276,0.12553576163340888,0.434161100869839,0.6771780891630668,-0.1388310221645273,0
2018-02,GN_FREE_BRIER,45289,6516,0.2345921883160353,0.1253227202207004,0.43312878209451816,0.6797117312055194,-0.6256027543201611,0
2018-02,GNADMM_GE0,45289,6516,0.23490706995122135,0.12532471856496546,0.4331449874514207,0.67954546337446,0.0,36
2018-02,GN_EQ0,45289,6516,0.23490706995122135,0.1253247185648156,0.4331449874502622,0.67954546337446,0.0,0
2018-02,GNADMM_LE0,45289,6516,0.23473231973817535,0.12532316748414132,0.4331324825468451,0.6796503519594742,-0.40944085007578973,18
2018-03,LOGIT_MLE,51805,6969,0.3165251590334481,0.16063199992857893,0.5205790587978254,0.688484419339438,-0.19497848797886805,0
2018-03,GN_FREE_BRIER,51805,6969,0.3177088271524076,0.16000172451039985,0.5181666141497953,0.6924286679862888,-0.679608705920218,0
2018-03,GNADMM_GE0,51805,6969,0.3190058050422735,0.15999552659912417,0.5181900029582528,0.6922144976048322,0.0,26
