bin,n,observed_rate,mean_predicted,min_predicted,max_predicted,abs_calibration_gap,model
"(-0.00099999, 0.0274]",8186,0.022843879794771562,0.020223200521240003,1e-08,0.027394685527194,0.0026206792735315593,LOGIT_MLE
"(0.0274, 0.0331]",8186,0.03530417786464696,0.03053527172319406,0.0273950646788099,0.0330641432475532,0.004768906141452898,LOGIT_MLE
"(0.0331, 0.0373]",8186,0.047275836794527244,0.03523905110628278,0.0330660349436505,0.0373321595929524,0.012036785688244463,LOGIT_MLE
"(0.0373, 0.0419]",8186,0.06034693378939653,0.03953873609722303,0.0373322231703679,0.0418738486946032,0.0208081976921735,LOGIT_MLE
"(0.0419, 0.0477]",8186,0.07219643293427803,0.04465360978665987,0.0418744142195241,0.0477218555604874,0.027542823147618162,LOGIT_MLE
"(0.0477, 0.0563]",8186,0.07769362325922306,0.05175347668832371,0.0477222006863519,0.0563395210073869,0.025940146570899353,LOGIT_MLE
"(0.0563, 0.0695]",8186,0.09137551917908625,0.06239386771749418,0.0563411815473249,0.069457196724042,0.028981651461592067,LOGIT_MLE
"(0.0695, 0.09]",8186,0.10175910090398241,0.07891229722793731,0.0694589666074509,0.0900393554400633,0.022846803676045094,LOGIT_MLE
"(0.09, 0.124]",8186,0.11922795015880772,0.10492000775573551,0.0900441924331059,0.1236189563977636,0.014307942403072205,LOGIT_MLE
"(0.124, 1.0]",8186,0.09919374541900806,0.16962113118668348,0.1236304828477596,0.99999999,0.07042738576767542,LOGIT_MLE
"(-0.00099999, 0.0211]",8186,0.024920596139750794,0.013334072529898076,1e-08,0.0210591057479727,0.011586523609852718,GN_FREE_BRIER
"(0.0211, 0.0296]",8186,0.037625213779623745,0.025815406732424894,0.0210615857221011,0.0296203904684542,0.011809807047198851,GN_FREE_BRIER
"(0.0296, 0.035]",8186,0.0458099193745419,0.032386982138566,0.0296208858142324,0.034950412405384,0.013422937235975901,GN_FREE_BRIER
"(0.035, 0.0401]",8186,0.05814805765941852,0.037437479079826426,0.0349511931033871,0.0400935702005224,0.020710578579592097,GN_FREE_BRIER
"(0.0401, 0.0465]",8186,0.06682140239433179,0.04314585958708615,0.0400943801440298,0.0465123336504515,0.02367554280724564,GN_FREE_BRIER
"(0.0465, 0.0555]",8186,0.07097483508429026,0.050692603551478976,0.0465124132856354,0.0555361020245784,0.02028223153281128,GN_FREE_BRIER
"(0.0555, 0.0688]",8186,0.09137551917908625,0.061744527914279645,0.0555374986277482,0.0687955709230153,0.029630991264806603,GN_FREE_BRIER
"(0.0688, 0.0901]",8186,0.10811140972391889,0.07870075423442721,0.0687959339152087,0.0901055687783491,0.029410655489491677,GN_FREE_BRIER
"(0.0901, 0.127]",8186,0.12179330564378207,0.10634525250565867,0.0901074561370638,0.1268342776382917,0.015448053138123405,GN_FREE_BRIER
"(0.127, 1.0]",8186,0.10163694111898364,0.17942048496590063,0.1268528548483936,0.99999999,0.07778354384691699,GN_FREE_BRIER
"(-0.00099225, 0.0212]",8186,0.025042755924749572,0.01347761354175479,7.745963313553293e-06,0.0211736417055007,0.011565142382994782,GNADMM_GE0
"(0.0212, 0.0297]",8186,0.0367700952846323,0.02591172421578309,0.0211745752284114,0.0296999932698454,0.01085837106884921,GNADMM_GE0
"(0.0297, 0.035]",8186,0.04593207915954068,0.032443127980358664,0.0297008441927945,0.0349871771919655,0.013488951179182015,GNADMM_GE0
"(0.035, 0.0402]",8186,0.05851453701441486,0.03748981636318315,0.0349884372005369,0.0401596022784321,0.021024720651231704,GNADMM_GE0
"(0.0402, 0.0466]",8186,0.06755436110432446,0.04322173170626623,0.0401602719303951,0.0465917795435147,0.024332629398058227,GNADMM_GE0
"(0.0466, 0.0556]",8186,0.07097483508429026,0.050746796542827655,0.0465929664856198,0.055589922011429,0.0202280385414626,GNADMM_GE0
"(0.0556, 0.0688]",8186,0.09113119960908869,0.061793687334077266,0.0555923274671671,0.06879076365481,0.029337512275011426,GNADMM_GE0
"(0.0688, 0.09]",8186,0.1079892499389201,0.07868115254912722,0.0687919305384816,0.0900245757015215,0.029308097389792884,GNADMM_GE0
"(0.09, 0.127]",8186,0.12106034693378939,0.10620810464480804,0.0900266765528249,0.126764138111839,0.014852242288981354,GNADMM_GE0
"(0.127, 1.0]",8186,0.10224774004397752,0.17907085013721113,0.1267722163999675,0.99999999,0.07682311009323362,GNADMM_GE0
"(-0.00099225, 0.0211]",8186,0.02516491570974835,0.013395824373933303,7.745965055008738e-06,0.0211108731872721,0.011769091335815047,GN_EQ0
"(0.0211, 0.0296]",8186,0.03750305399462497,0.025812516299713362,0.0211121844111456,0.029608374628691,0.011690537694911605,GN_EQ0
"(0.0296, 0.0349]",8186,0.0458099193745419,0.03237193016755306,0.0296085386254461,0.0349355455116567,0.01343798920698884,GN_EQ0
"(0.0349, 0.0402]",8186,0.05802589787441974,0.03745976189377194,0.0349362419556902,0.0401509553822174,0.0205661359806478,GN_EQ0
"(0.0402, 0.0467]",8186,0.06706572196432935,0.043254915308683695,0.0401512781836306,0.0466540329945509,0.023810806655645653,GN_EQ0
"(0.0467, 0.0556]",8186,0.07109699486928903,0.050804460009823554,0.0466546068055887,0.0556147999215744,0.020292534859465472,GN_EQ0
"(0.0556, 0.0688]",8186,0.09076472025409235,0.061811550904940726,0.0556150756349625,0.0687951749018375,0.028953169349151625,GN_EQ0
"(0.0688, 0.09]",8186,0.10786709015392133,0.0786587597082983,0.0687955194722439,0.0900059511730994,0.02920833044562303,GN_EQ0
"(0.09, 0.127]",8186,0.1215489860737845,0.106141398577246,0.0900060823025926,0.1266522749930367,0.015407587496538505,GN_EQ0
"(0.127, 0.522]",8186,0.1023698998289763,0.17800604760920039,0.1266714777745057,0.5216511008126392,0.07563614778022408,GN_EQ0
"(-0.00099999, 0.021]",8186,0.025042755924749572,0.013318919594509397,1e-08,0.0210396370961176,0.011723836330240175,GNADMM_LE0
"(0.021, 0.0296]",8186,0.03738089420962619,0.02576039300118958,0.0210407668195847,0.0295711981139587,0.01162050120843661,GNADMM_LE0
"(0.0296, 0.0349]",8186,0.046176398729538236,0.03234497160646678,0.0295719068947238,0.034921299258639,0.013831427123071456,GNADMM_LE0
"(0.0349, 0.0401]",8186,0.05790373808942096,0.03743593834737856,0.0349222625815104,0.0401241863688036,0.0204677997420424,GNADMM_LE0
"(0.0401, 0.0466]",8186,0.06694356217933056,0.043215299996250345,0.0401242646557612,0.046615325542011,0.023728262183080218,GNADMM_LE0
"(0.0466, 0.0556]",8186,0.07097483508429026,0.05076465568784169,0.0466157754297689,0.0555676614677637,0.020210179396448563,GNADMM_LE0
"(0.0556, 0.0688]",8186,0.09039824089909601,0.06177437047182849,0.0555688170500122,0.0687933474629539,0.028623870427267523,GNADMM_LE0
"(0.0688, 0.09]",8186,0.108600048863914,0.0786756086552552,0.0687949204949888,0.0899999494194686,0.029924440208658795,GNADMM_LE0
"(0.09, 0.127]",8186,0.12203762521377963,0.10628232313016239,0.0900081063134825,0.1267285625763104,0.015755302083617237,GNADMM_LE0
"(0.127, 0.51]",8186,0.10175910090398241,0.17836967074111054,0.1267321764882699,0.5102620776733015,0.07661056983712813,GNADMM_LE0
